Name,Capacity (Kwp),Battery Capacity (Kwhr),Cost (Before Grant),Grant,Cost After Grant,Cost/KWp,Orientation,Roof Slope (degrees),Location,Installed,Comment,Pre-PV BER,Post-PV BER,Inverter,Panels,Installer,Meter in Use,Provider / Package
Jumpin Jack,20,42.00,"€31,600.00",€0.00,"€31,600.00","€1,580.00",South (17Kwp) East (2.9Kwp),,North Wicklow,Jan 2023,Self Install,,,Victron ,42 X 405W Q-Cell 5 X 580W Q-Cell,Self,Day/Night,Flogas Community plan 
Bullit_Dodger,6.5,8.20,"€11,500.00","€3,000.00","€8,500.00","€1,307.69",East (2.25Kwp) / West (4.2 Kwp),35,Dublin City,Oct 2021,eddi included in price (additional 3x panels added later),D1,C2,GivEnergy 5Kw,14x380w Q-Cell G9,Next-Gen Power,Day/Night,
AndyBoBandy,5.78,5.00,"€11,820.00","€3,000.00","€8,820.00","€1,525.95",SSE/SW/ENE,45,Dublin Fingal,October 2021,eddi/harvi/hub included in price + 11 optimisers,,,Solis Hybrid 6kW,JASolar,,,
Jonathan,4.83,5.00,"€10,150.00","€3,000.00","€7,150.00","€1,480.33",South,30,Dublin Fingal,September 2021,eddi included in price,B3,"A3 (Other works carried out between BERs, so not just due to PV)",Solis Hybrid 5kW,JA Solar Mono 345W,,Day/Night ,Energia EV Tariff
SouthWesterly,3.24,,"€5,000.00","€1,800.00","€3,200.00",€987.65,West,,Kerry,July 2021,Saas installed mid July ,C1,B3,Goodwee 3kw,,My Solar,Day/Night ,Electric Ireland 30%
graememk,17,40.00,,,,,NE/SW low slope,12,Donegal,Jan 21,"As of Dec 22, Now have 4.3kwp NE, 12.7 SW Low slope. total cost to me about 15k",,c3 i think but my old oil burner is killing mine. ,"Solis 6kw, Sofar Me3000sp x2",Longi 355,,,
graememk (dad),11,20.00,7000 (Approx),€0.00,,,South east low slope,15,Donegal,sept 20,"€4.5k for solar 2.5k for battery, iboost upgraded battery in march to 20kwh, Another 5.6 installed may 2022",,,"Solis 5kw, solis 6kw hybrid",Longi 350,,,
ELCAT2009,6.2,7.20,"€11,320.00","€3,000.00","€8,320.00","€1,341.94",SE / SW Even split,35,Galway,Nov 21,"No Eddie, but back up socket installed in utility. Prices across inlcuded 4.8kw battery. I added another 2.4kw in April 2022 for €1050 buying direct and self install",A3,A3 (Pre BER was 10 yrs old and new BER had to use default info for some items like heat pump),Solis Hybrid 6kW, JA Solar 345w,"KB Electrical, Enniskillen ",Day/Night,Electric Ireland 30%. Broke Contract Sept 2022 to change to Energia EV plan fixed rate 7.9c night 
DrPhilg,7.44,20.00,"€10,950.00","€3,000.00","€7,950.00","€1,068.55",South (4.03kWp) West (3.41kWp),,Donegal,August 2020,"Initial 6.2kWp, increased to 7.44kWp in May 2022. Inc Eddi & Zappi 2",C2,B2,Solis Hybrid 6kW,JA Solar Mono 310w,"KB Electrical, Enniskillen ",Day/Night,"Energia EV package. Day/night meter, 27.4/7.9c"
Eco_Mental,6.1,0.00,"€6,920.00",€0.00,"€6,920.00","€1,134.43",South ,40,Cork City,Oct 21,New build house and installed as part of the build.,A2,,Solis S5-6R1P6K  ,JA Solar Mono 340w,,Day/Night,Electric Ireland
rgfuller,7.24,5.00,"€12,650.00","€3,000.00","€9,650.00","€1,332.87","South (3.4), East (2.4), West (1.4)","30, 22.5",Dublin West,Oct 21,"eddi included, 11 optimisers",B3,A3,Solis Hybrid 6kW,JA Solar Mono 345W,,Smart,SSE Airtricity 1Yr Dual Fuel (20%Elec/16%Gas Discount)
Zzippy,6.2,5.00,"€10,700.00","€3,000.00","€7,700.00","€1,241.94",SE  ,,Galway,June 2021,eddi included in price,B3,B1,,,,,
Niceday20,4.875,5.80,"€11,390.00","€3,000.00","€8,390.00","€1,721.03",Just east of South,,Mayo,April 2021,eddi and removal of old thermal system included,C2,B3,,,,,
Irishchris,7.25,9.60,need to work out self install part,"€1,400.00",,,South West and South,,Galway,Oct 20 / Feb 21,SAAS 2.88 and self install of 4.3kwp,C3,b2,Solis 6kW + Goodwe 2.5kW,360 longi /320 longi,,,
MAULBROOK,6.2,10.50,added 4 panels and 3.5kw battery,"€3,800.00",,,SE,,North Wexford,June2019,I boost.Clover Energy Systems Ltd.,C3,B2,,,,,
buzz11,11.9,-,part self install,don't qualify,,,South (9.9kWp) / West 2kWp,,Galway,"Aug'14, Apr '21, Nov'21","harvi, hub, eddi, 500l water tank with 2 elements, 7 optimisers, ",B1,,Solis Hybrid 6kW,JA Solar 345w,,,
Jethrothe2nd,3.8,-,"€5,551.00","€1,800.00","€3,751.00",€987.11,SE,,Kildare,Nov 2021,Eddi included,C1,,,,,,
Millbe,3.8,2.40,"€8,700.00","€2,900.00","€5,800.00","€1,526.32",South 1.9   West 1.9,38,Kildare,Dec 2021,Eddi & Harvi included,,,Solis single,JA Solar 380,,Smart,ElecIreland
RX8,4.2,2.40,"€10,200.00","€3,800.00","€6,400.00","€1,523.81",SE/SW,,Dublin City, November 2019,"eddi,included.  Zappi, hub & harvi added later",,,,,,,
